Project,Language
abseil-cpp,c++
adal,python
aiohttp,python
airflow,python
alembic,c++
angus-mail,jvm
ansible,python
antlr4-java,jvm
apache-commons-bcel,jvm
apache-commons-beanutils,jvm
apache-commons-cli,jvm
apache-commons-codec,jvm
apache-commons-collections,jvm
apache-commons-configuration,jvm
apache-commons-io,jvm
apache-commons-jxpath,jvm
apache-commons-lang,jvm
apache-commons-logging,jvm
apache-commons,jvm
apache-felix-dev,jvm
apache-httpd,c
archaius-core,jvm
arduinojson,c++
argo,go
arrow-java,jvm
arrow,c++
asn1crypto,python
aspectj,jvm
aspell,c++
assimp,c++
astc-encoder,c++
augeas,c++
avahi,c++
bad_example,c++
bazel-rules-fuzzing-test-java,jvm
bazel-rules-fuzzing-test,c++
bc-java,jvm
bc-java-wycheproof,jvm
bearssl,c++
bignum-fuzzer,c++
bincode,rust
bind9,c
binutils,c++
bitcoin-core,c++
blackfriday,go
bleach,python
bloaty,c++
bls-signatures,c++
bluez,c
boost-json,c++
boost,c++
boringssl,c++
botan,c++
bottleneck,python
brotli-java,jvm
brotli,c++
brunsli,c++
bs4,python
burntsushi-toml,go
bzip2,c++
caddy,go
cairo,c
capnproto,c++
capstone,c++
c-ares,c++
cascadia,go
casync,c++
c-blosc2,c++
c-blosc,c++
cbor-java,jvm
cctz,c++
cel-cpp,c++
cel-go,go
cfengine,c++
cglib,jvm
charset_normalizer,python
checker-framework,jvm
cifuzz-example,c++
cilium,go
circl,c++
civetweb,c
cjson,c++
clamav,c++
clib,c
clickhouse,c++
cloud-hypervisor,rust
cmake,c
cmark,c++
config-validator,go
containerd,go
cosmos-sdk,go
coturn,c
coveragepy,python
cppcheck,c++
cpp-httplib,c++
cpython3,c++
cras,c++
cri-o,go
croaring,c
croniter,python
crossplane,go
cryptofuzz,c++
cryptography,python
cryptsetup,c
cura-engine,c++
curl,c++
cyclonedds,c
dart,c++
dask,python
dav1d,c++
dbus-broker,c
decorator,python
dgraph,go
digest,python
distribution,go
django,python
dlplibs,c++
dng_sdk,c++
dnsmasq,c
dom4j,jvm
double-conversion,c++
dovecot,c
draco,c++
dragonfly,go
dropbear,c++
duckdb,c++
e2fsprogs,c
easywsclient,c++
ecc-diff-fuzzer,c++
ecdsa-python,python
eigen,c++
elfutils,c++
envoy,c++
espeak-ng,c++
esp-v2,c++
etcd,go
et-xmlfile,python
example,c++
excelize,go
exiv2,c++
expat,c++
exprtk,c++
fabric,go
fast-dds,c++
fasthttp,go
fastjson2,jvm
fastjson,go
ffmpeg,c++
filelock,python
file,c++
fio,c++
firefox,c++
firestore,c++
flac,c++
flask,python
flask-restx,python
flatbuffers,c++
flate2-rs,rust
fluent-bit,c++
fluxcd,go
fmt,c++
freeimage,c++
freeradius,c++
freetype2,c++
fribidi,c
frr,c++
ftfy,python
fuzzing-puzzles,c++
fwupd,c
g-api-auth-httplib2,python
g-api-auth-library-python,python
g-api-pubsub,python
g-api-py-api-common-protos,python
g-api-py-oauthlib,python
g-api-python-client,python
g-api-python-cloud-core,python
g-api-python-firestore,python
g-api-python-tasks,python
g-api-resource-manager,python
g-api-resumable-media-python,python
g-api-secret-manager,python
g-apis-py-api-core,python
gc-iam,python
gcloud-error-py,python
gcloud-go,go
g-cloud-logging-py,python
gcp-python-cloud-storage,python
gdal,c++
gdbm,c
gdk-pixbuf,c
geos,c++
gfwx,c++
ghostscript,c++
giflib,c++
gitea,go
github_scarecrow,c++
git,c++
glib,c++
glom,python
gnupg,c++
gnutls,c++
go-attestation,go
go-containerregistry,go
go-coredns,go
go-dns,go
go-ethereum,go
go-json-iterator,go
golang,go
golang-protobuf,go
gonids,go
gopacket,go
go-redis,go
go-sftp,go
go-snappy,go
go-sqlite3,go
go-toml,go
gpac,c
gpsd,c
g-py-bigquery,python
g-py-crc32c,python
graphicsfuzz-spirv,c++
graphicsmagick,c++
greenmail,jvm
grok,c++
groovy,jvm
grpc-gateway,go
grpc-go,go
grpc-httpjson-transcoding,c++
grpc,c++
grpc-py,python
grpc-swift,swift
gson,jvm
gstreamer,c++
guava,jvm
guetzli,c++
guice,jvm
gunicorn,python
gvisor,go
h2database,jvm
h2o,c++
h3,c
hamcrest,jvm
haproxy,c++
harfbuzz,c++
hcl,go
hdrhistogram,jvm
helm,go
hermes,c++
hibernate-orm,jvm
hiredis,c
hoextdown,c++
hostap,c++
hsqldb,jvm
htslib,c++
httparse,rust
httpcomponents-client,jvm
